"Name","WhenCreated","WhenChanged","DistinguishedName","UserPrincipalName","LastLogonTimestamp","pwdlastset","BadPasswordTime","sAMAccountName","objectSID","Description","Mail","proxyAddresses","ObjectClass","OjectGUID","OperatingSystem","DNSHostName","Enabled","SID"
"RK-W10","09.08.2017 12:03:16","24.11.2022 09:31:10","CN=RK-W10,OU=SBSComputers,OU=Computers,OU=MyBusiness,DC=wsl-patent,DC=local",,"2022-11-24 09:31:10","2022-11-01 08:24:54","","RK-W10$",,,,"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","computer","6dd5e251-dc4b-4a75-abce-3f713d047c1f","Windows 10 Pro","RK-W10.wsl-patent.local","True","S-1-5-21-2925820822-1397182803-1472694261-1658"
"RW-W10","06.04.2016 19:08:34","19.12.2019 17:09:57","CN=RW-W10,OU=SBSComputers,OU=Computers,OU=MyBusiness,DC=wsl-patent,DC=local",,"2018-06-15 08:25:27","2016-12-01 08:01:48","","RW-W10$",,,,"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","computer","9b896e32-4dd5-4155-836e-4f424c8b28b2","Windows 10 Pro","RW-W10.wsl-patent.local","True","S-1-5-21-2925820822-1397182803-1472694261-1636"
"NB-WSL-HI","02.04.2013 11:59:50","08.02.2022 15:37:32","CN=NB-WSL-HI,OU=PCs,DC=wsl-patent,DC=local",,"2018-08-11 10:51:51","2018-08-11 10:56:19","","NB-WSL-HI$",,,,"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","computer","9a54e390-6038-47f7-97ce-a4b82deb34f8","Windows 7 Professional","NB-WSL-HI.wsl-patent.local","False","S-1-5-21-2925820822-1397182803-1472694261-1217"
"NB-WSL-POOL01","02.04.2013 07:35:59","19.12.2019 17:09:57","CN=NB-WSL-POOL01,OU=PCs,DC=wsl-patent,DC=local",,"2018-11-21 08:22:22","2018-11-21 08:22:22","","NB-WSL-POOL01$",,,,"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","computer","e3ac4bbc-5151-47ff-8b76-9add5d184834","Windows 7 Professional","NB-WSL-POOL01.wsl-patent.local","True","S-1-5-21-2925820822-1397182803-1472694261-1216"
"KN-W10","02.08.2017 13:11:00","13.06.2023 09:28:09","CN=KN-W10,OU=SBSComputers,OU=Computers,OU=MyBusiness,DC=wsl-patent,DC=local",,"2023-06-13 09:16:12","2023-06-13 09:28:09","","KN-W10$",,,,"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","computer","10e0c0a9-7b5a-42c2-afda-997cf6fdf1a6","Windows 10 Pro","KN-W10.wsl-patent.local","True","S-1-5-21-2925820822-1397182803-1472694261-1657"
"OLDWIKI","28.03.2013 16:36:49","19.12.2019 17:09:57","CN=OLDWIKI,OU=SBSServers,OU=Computers,OU=MyBusiness,DC=wsl-patent,DC=local",,"2019-11-06 22:14:08","2019-10-11 01:51:56","","OLDWIKI$",,,,"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","computer","81790055-7c38-4dbc-a74f-086b55c02f87","Windows Server 2008 R2 Standard","OldWiki.wsl-patent.local","True","S-1-5-21-2925820822-1397182803-1472694261-1205"
"wi-wsl-nas","10.10.2014 16:28:12","23.01.2020 11:22:31","CN=wi-wsl-nas,OU=SBSComputers,OU=Computers,OU=MyBusiness,DC=wsl-patent,DC=local",,"2020-01-23 11:22:24","2014-10-10 16:28:12","","wi-wsl-nas$",,,,"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","computer","438f7c75-8b0e-4b77-a707-f521882a8d1f",,"wi-wsl-nas.wsl-patent.local","True","S-1-5-21-2925820822-1397182803-1472694261-1620"
"SMARTBOARD","08.05.2013 20:10:17","20.08.2021 14:39:32","CN=SMARTBOARD,OU=SBSComputers,OU=Computers,OU=MyBusiness,DC=wsl-patent,DC=local",,"2021-08-20 14:39:32","2019-09-12 09:02:59","2023-05-16 10:59:15","SMARTBOARD$",,,,"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","computer","de5dc684-15b5-4040-b0bb-0322ca83db6e","Windows 7 Professional","SMARTBOARD.wsl-patent.local","True","S-1-5-21-2925820822-1397182803-1472694261-1225"
"W8-TABLET-SI","16.09.2013 17:33:10","08.02.2022 15:48:01","CN=W8-TABLET-SI,OU=PCs,DC=wsl-patent,DC=local",,"2020-10-16 08:03:45","2020-08-11 09:06:20","","W8-TABLET-SI$",,,,"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","computer","385c225e-d520-43b5-b73b-c3ee617f605f","Windows 10 Pro","W8-TABLET-SI.wsl-patent.local","False","S-1-5-21-2925820822-1397182803-1472694261-1237"
"PC-LI-W10","10.02.2016 18:48:13","12.06.2020 19:24:24","CN=PC-LI-W10,OU=SBSComputers,OU=Computers,OU=MyBusiness,DC=wsl-patent,DC=local",,"2020-06-04 08:08:33","2020-06-12 19:24:22","","PC-LI-W10$",,,,"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","computer","319b449e-2c05-48b9-bc24-5efc7ce4d9c3","Windows 10 Pro","PC-Li-W10.wsl-patent.local","True","S-1-5-21-2925820822-1397182803-1472694261-1633"
"WSLTRM2","30.01.2014 20:18:33","19.12.2019 17:09:57","CN=WSLTRM2,OU=WTS,DC=wsl-patent,DC=local",,"2019-12-13 18:32:21","2019-12-12 22:24:49","","WSLTRM2$",,,,"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","computer","a6561326-8259-4d65-a30a-854686e13de5","Windows Server 2008 R2 Standard","WSLTRM2.wsl-patent.local","True","S-1-5-21-2925820822-1397182803-1472694261-1617"
"WSLORACLE","18.03.2013 21:05:37","24.11.2022 00:19:50","CN=WSLORACLE,OU=SBSServers,OU=Computers,OU=MyBusiness,DC=wsl-patent,DC=local",,"2022-11-15 19:30:16","2022-11-08 07:18:39","","WSLORACLE$",,,,"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","computer","88626517-f415-4aee-be4b-22348ab6a7d7","Windows Server 2008 R2 Standard","WSLORACLE.wsl-patent.local","True","S-1-5-21-2925820822-1397182803-1472694261-1167"
"SB-WSL-HI","19.04.2017 11:37:24","08.02.2022 15:35:28","CN=SB-WSL-HI,OU=SBSComputers,OU=Computers,OU=MyBusiness,DC=wsl-patent,DC=local",,"2021-10-28 09:36:41","2021-10-26 09:31:00","","SB-WSL-HI$",,,,"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","computer","dad4dc0f-2ed1-40ea-ac4b-d3e5f758b0dc","Windows 10 Pro","sb-wsl-hi.wsl-patent.local","False","S-1-5-21-2925820822-1397182803-1472694261-1642"
"OCR","29.01.2015 13:23:39","18.11.2022 01:06:49","CN=OCR,OU=SBSComputers,OU=Computers,OU=MyBusiness,DC=wsl-patent,DC=local",,"2022-11-18 01:06:49","2022-11-11 03:33:36","","OCR$",,,,"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","computer","9f92f6ae-6e93-4bb6-b7be-cd9fff99a114","Windows 7 Professional","OCR.wsl-patent.local","True","S-1-5-21-2925820822-1397182803-1472694261-1623"
"WSLTERM1","18.03.2013 21:09:58","08.05.2020 07:43:40","CN=WSLTERM1,OU=WTS,DC=wsl-patent,DC=local",,"2020-05-08 07:43:40","2020-05-05 20:26:03","2020-03-11 09:14:26","WSLTERM1$",,,,"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","computer","198c4ced-fbe9-48d3-8116-91ec687b1499","Windows Server 2008 R2 Standard","WSLTERM1.wsl-patent.local","True","S-1-5-21-2925820822-1397182803-1472694261-1168"
"ERSATZ","21.04.2015 11:29:01","03.06.2020 14:26:51","CN=ERSATZ,OU=SBSComputers,OU=Computers,OU=MyBusiness,DC=wsl-patent,DC=local",,"2020-06-03 14:26:51","2020-06-03 14:26:51","","ERSATZ$",,,,"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","computer","d6f2247d-a66f-486e-a110-d36034dc8db0","Windows 7 Professional","ERSATZ.wsl-patent.local","True","S-1-5-21-2925820822-1397182803-1472694261-1625"
"ZWEI","07.11.2019 11:59:46","29.06.2022 07:59:13","CN=ZWEI,OU=WTS2016,DC=wsl-patent,DC=local",,"2022-06-29 07:59:13","2022-06-13 07:18:44","2022-06-13 07:18:44","ZWEI$",,,,"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","computer","2f138068-d77e-47c7-957b-5aab1f035fe0","Windows Server 2016 Standard","ZWEI.wsl-patent.local","True","S-1-5-21-2925820822-1397182803-1472694261-1687"
"LP-W10","10.07.2017 14:15:18","07.06.2021 08:16:51","CN=LP-W10,OU=SBSComputers,OU=Computers,OU=MyBusiness,DC=wsl-patent,DC=local",,"2021-06-07 08:16:51","2021-05-20 08:13:39","2020-07-27 09:08:26","LP-W10$",,,,"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","computer","3fe43bc6-99dd-40ec-bf9a-78fb400710d7","Windows 10 Pro","LP-W10.wsl-patent.local","True","S-1-5-21-2925820822-1397182803-1472694261-1649"
"ORACLEDB","29.04.2021 10:11:25","19.07.2022 21:26:41","CN=ORACLEDB,OU=SBSComputers,OU=Computers,OU=MyBusiness,DC=wsl-patent,DC=local",,"2022-07-19 21:26:41","2022-07-01 03:26:25","","ORACLEDB$",,,,"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","computer","2ddf2ced-7014-46df-8451-73e8c3a65e8d","Windows Server 2016 Standard","OracleDB.wsl-patent.local","True","S-1-5-21-2925820822-1397182803-1472694261-2140"
"SB-HI-2021","14.10.2021 14:26:48","08.02.2022 15:34:41","CN=SB-HI-2021,OU=SBSComputers,OU=Computers,OU=MyBusiness,DC=wsl-patent,DC=local",,"2021-10-14 14:27:35","2021-10-14 14:26:48","","SB-HI-2021$",,,,"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","computer","b99bede6-f6b2-4899-98b2-6cbbbcb91e1d","Windows 10 Pro","SB-Hi-2021.wsl-patent.local","False","S-1-5-21-2925820822-1397182803-1472694261-2152"
"PC-AI-WIN10","15.03.2022 08:44:54","20.07.2023 09:39:55","CN=PC-AI-WIN10,OU=SBSComputers,OU=Computers,OU=MyBusiness,DC=wsl-patent,DC=local",,"2023-07-20 09:39:55","2023-06-28 09:30:15","","PC-AI-WIN10$",,,,"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","computer","cc997b7e-d998-4207-9125-09419bbb0fd9","Windows 10 Pro","PC-AI-WIN10.wsl-patent.local","True","S-1-5-21-2925820822-1397182803-1472694261-2173"
